EventID,edep_MeV,dose_Gy
466,6.857376e-01,2.357667e-10
467,6.216449e-01,2.137307e-10
468,6.919087e-01,2.378884e-10
469,5.491007e-01,1.887889e-10
470,6.102152e-01,2.098010e-10
471,6.452435e-01,2.218442e-10
472,6.593272e-01,2.266864e-10
473,7.040299e-01,2.420559e-10
474,5.990120e-01,2.059492e-10
475,6.060758e-01,2.083778e-10
476,6.604188e-01,2.270617e-10
477,6.617247e-01,2.275107e-10
478,6.332247e-01,2.177120e-10
479,6.959191e-01,2.392672e-10
480,6.424826e-01,2.208950e-10
481,7.128855e-01,2.451005e-10
482,6.557037e-01,2.254406e-10
483,7.967186e-01,2.739236e-10
484,8.647895e-01,2.973274e-10
485,6.634185e-01,2.280930e-10
486,6.055051e-01,2.081816e-10
487,5.996851e-01,2.061806e-10
488,7.017108e-01,2.412585e-10
489,7.112162e-01,2.445266e-10
490,6.858771e-01,2.358146e-10
491,7.076928e-01,2.433152e-10
492,6.559187e-01,2.255145e-10
493,6.663491e-01,2.291006e-10
494,6.986287e-01,2.401988e-10
495,7.111529e-01,2.445048e-10
496,6.834864e-01,2.349927e-10
497,8.786421e-01,3.020901e-10
498,8.871986e-01,3.050319e-10
499,8.327565e-01,2.863139e-10
500,9.559063e-01,3.286547e-10
501,6.311998e-01,2.170158e-10
502,7.187424e-01,2.471142e-10
503,7.716452e-01,2.653030e-10
504,6.895776e-01,2.370869e-10
505,6.090025e-01,2.093840e-10
506,7.890841e-01,2.712987e-10
507,8.888537e-01,3.056010e-10
508,7.643392e-01,2.627911e-10
509,7.822080e-01,2.689346e-10
510,6.872259e-01,2.362784e-10
511,7.441252e-01,2.558412e-10
512,6.138472e-01,2.110497e-10
513,6.301452e-01,2.166532e-10
514,4.024289e+00,1.383610e-09
515,6.945858e-01,2.388088e-10
516,8.563137e-01,2.944133e-10
517,8.009294e-01,2.753713e-10
518,5.520635e-01,1.898076e-10
519,5.416980e-01,1.862438e-10
520,5.295128e-01,1.820543e-10
521,5.801582e-01,1.994669e-10
522,5.754632e-01,1.978527e-10
523,5.847326e-01,2.010397e-10
524,7.110739e-01,2.444777e-10
525,6.105860e-01,2.099285e-10
526,5.905104e-01,2.030262e-10
527,6.230321e-01,2.142076e-10
528,7.894179e-01,2.714135e-10
529,6.043597e-01,2.077878e-10
530,7.454445e-01,2.562948e-10
531,5.553969e-01,1.909536e-10
532,5.688820e-01,1.955900e-10
533,7.544999e-01,2.594082e-10
534,6.642246e-01,2.283702e-10
535,5.742595e-01,1.974389e-10
536,6.573488e-01,2.260062e-10
537,8.307005e-01,2.856071e-10
538,5.592195e-01,1.922679e-10
539,7.064902e-01,2.429017e-10
540,6.330441e-01,2.176499e-10
541,7.049464e-01,2.423710e-10
542,7.009008e-01,2.409800e-10
543,5.896569e-01,2.027327e-10
544,7.183076e-01,2.469647e-10
545,6.753563e-01,2.321974e-10
546,7.686444e-01,2.642713e-10
547,7.742069e-01,2.661837e-10
548,5.962921e-01,2.050140e-10
549,5.429902e-01,1.866880e-10
550,6.101053e-01,2.097632e-10
551,6.871918e-01,2.362667e-10
552,7.043439e-01,2.421638e-10
553,6.308642e-01,2.169004e-10
554,6.280425e-01,2.159303e-10
555,6.565005e-01,2.257145e-10
556,8.951258e-01,3.077574e-10
557,6.626407e-01,2.278256e-10
558,6.510428e-01,2.238381e-10
559,6.487179e-01,2.230388e-10
560,6.003711e-01,2.064164e-10
561,5.971959e-01,2.053247e-10
562,7.632325e-01,2.624106e-10
563,6.988671e-01,2.402808e-10
564,6.308964e-01,2.169115e-10
565,6.516155e-01,2.240350e-10
566,6.116518e-01,2.102949e-10
567,5.987403e-01,2.058557e-10
568,6.131758e-01,2.108189e-10
569,8.945867e-01,3.075721e-10
570,6.011364e-01,2.066795e-10
571,6.172979e-01,2.122361e-10
572,6.910429e-01,2.375907e-10
573,5.661068e-01,1.946359e-10
574,5.872168e-01,2.018938e-10
575,6.765379e-01,2.326037e-10
576,6.756772e-01,2.323078e-10
577,5.890949e-01,2.025395e-10
578,6.236447e-01,2.144182e-10
579,5.711076e-01,1.963552e-10
580,5.741144e-01,1.973890e-10
581,6.793424e-01,2.335679e-10
582,7.027016e-01,2.415992e-10
583,7.185390e-01,2.470443e-10
584,7.442555e-01,2.558860e-10
585,6.080925e-01,2.090711e-10
